time,bid_price_min,bid_price_q1,bid_price_median,bid_price_q3,bid_price_max,bid_price_mean,bid_price_std,ask_price_min,ask_price_q1,ask_price_median,ask_price_q3,ask_price_max,ask_price_mean,ask_price_std,bid_vol_price_sum,bid_vol_price_min,bid_vol_price_q1,bid_vol_price_median,bid_vol_price_q3,bid_vol_price_max,bid_vol_price_mean,bid_vol_price_std,ask_vol_price_sum,ask_vol_price_min,ask_vol_price_q1,ask_vol_price_median,ask_vol_price_q3,ask_vol_price_max,ask_vol_price_mean,ask_vol_price_std,spread_min,spread_btwn_means,spread_btwn_medians,spread_btwn_vol_sums,spread_btwn_vol_means,spread_btwn_vol_medians
b'2024-03-03T18:31:38.545443Z',0.01,1688.15,2402.06,3041.14,3463.49,2245.446380742668,924.133462743742,3463.72,3623.6475,4101.38,5801.8175,33333333.33,36422.91630776561,711240.1494593514,58321084.54130349,0.0009416000000000001,27.6085415576,109.2853632459,991.99999216825,2813482.9817999997,5837.362080002352,54117.19157773848,477802167.9551328,0.7941946752,127.1082388597,1795.3649999999998,7890.1125,86006715.38140693,113816.6193318563,1687209.3636478742,0.2300000000000182,34177.46992702295,1699.3200000000002,419481083.41382927,107979.25725185395,1686.0796367540997
b'2024-03-03T18:31:38.575379Z',0.01,1688.225,2402.085,3041.2,3463.49,2245.567842273819,924.16696683007,3463.72,3623.6475,4101.38,5801.8175,33333333.33,36422.91630776561,711240.1494593514,58322122.2683035,0.0009416000000000001,27.6137707788,109.28536349395,992.0001883688749,2813482.9817999997,5836.881732216123,54114.50478385027,477802167.9551328,0.7941946752,127.1082388597,1795.3649999999998,7890.1125,86006715.38140693,113816.6193318563,1687209.3636478742,0.2300000000000182,34177.34846549179,1699.295,419480045.68682927,107979.73759964018,1686.0796365060498
b'2024-03-03T18:31:38.647723Z',0.01,1688.15,2402.06,3041.14,3463.49,2245.446207586828,924.1332346815578,3463.72,3623.6475,4101.38,5801.8175,33333333.33,36422.91594092425,711240.1493549657,58322202.74775774,0.0009416000000000001,27.629896373,109.285363742,992.00038269425,2813482.9817999997,5837.474001377013,54117.18066704408,477803200.22898555,0.7941946752,127.46831657909999,1796.3125,7890.1125,86006715.38140693,113816.86522843868,1687209.3469747421,0.2300000000000182,34177.46973333742,1699.3200000000002,419480997.4812278,107979.39122706166,1687.027136258
b'2024-03-03T18:31:38.719523Z',0.01,1688.0,2402.0,3040.58,3463.49,2245.202345580138,924.0650151365724,3463.72,3623.51,4101.0,5801.635,33333333.33,36415.066680161945,711155.6345476464,58320762.821334414,0.0009416000000000001,27.619,109.2853632459,992.000771345,2813482.9817999997,5838.498630627131,54122.54962225822,477803500.25059617,0.7941946752,127.6536777194,1795.86,7887.0650000000005,86006715.38140693,113789.8309718019,1687009.338256453,0.2300000000000182,34169.864334581805,1699.0,419482737.42926174,107951.33234117477,1686.5746367540999
b'2024-03-03T18:31:38.726397Z',0.01,1688.225,2402.085,3041.2,3463.49,2245.5676521216974,924.1667164030079,3463.72,3623.6475,4101.38,5801.8175,33333333.33,36422.91071700809,711240.1495969627,58323840.344130084,0.0009416000000000001,27.6353445595,109.28536379170001,992.3982942639251,2813482.9817999997,5837.053677354892,54114.48932268703,477802754.5322066,0.7941946752,127.46831657909999,1796.3125,7890.1125,86006715.38140693,113816.75905960138,1687209.3540849641,0.2300000000000182,34177.343064886394,1699.295,419478914.1880765,107979.70538224648,1687.0271362083
b'2024-03-03T18:31:38.849271Z',0.01,1688.075,2402.0299999999997,3040.97,3463.49,2245.326173173173,924.1015963595639,3463.72,3623.51,4101.0,5801.635,33333333.33,36415.065603715164,711155.6345975198,58321689.6188824,0.0009416000000000001,27.6244481865,109.28536349395,992.000577019625,2813482.9817999997,5838.0069688570975,54119.86456527285,477802651.85474104,0.7941946752,127.6536777194,1794.87,7887.0650000000005,86006715.38140693,113789.62892468231,1687009.351787575,0.2300000000000182,34169.73943054199,1698.9700000000003,419480962.2358586,107951.62195582522,1685.58463650605
b'2024-03-03T18:31:38.873143Z',0.01,1688.075,2402.0299999999997,3040.97,3463.49,2245.326173173173,924.1015963595639,3463.72,3623.51,4101.0,5801.635,33333333.33,36415.065603715164,711155.6345975198,58321689.6188824,0.0009416000000000001,27.6244481865,109.28536349395,992.000577019625,2813482.9817999997,5838.0069688570975,54119.86456527285,477802759.7360715,0.7941946752,127.6536777194,1794.87,7887.0650000000005,86006715.38140693,113789.65461683056,1687009.3500600175,0.2300000000000182,34169.73943054199,1698.9700000000003,419481070.1171891,107951.64764797347,1685.58463650605
b'2024-03-03T18:31:38.971332Z',0.01,1688.075,2402.0299999999997,3040.97,3463.49,2245.3244374374376,924.0993327860781,3463.72,3623.51,4101.0,5801.635,33333333.33,36415.06557989997,711155.6345986231,58321684.419001035,0.0009416000000000001,27.6244481865,109.28536349395,992.000577019625,2813482.9817999997,5838.006448348452,54119.864611464305,477802759.72741,0.7941946752,127.6536777194,1794.87,7887.0650000000005,86006715.38140693,113789.6546147678,1687009.3500601558,0.2300000000000182,34169.74114246253,1698.9700000000003,419481075.308409,107951.64816641936,1685.58463650605
b'2024-03-03T18:31:39.080781Z',0.01,1688.15,2402.06,3041.14,3463.49,2245.44807426684,924.1356703748471,3463.72,3623.51,4101.0,5801.635,33333333.33,36415.06557989997,711155.6345986231,58321689.603845045,0.0009416000000000001,27.629896373,109.285363742,992.00038269425,2813482.9817999997,5837.4226407611895,54117.186185691615,477802651.8460795,0.7941946752,127.6536777194,1794.87,7887.0650000000005,86006715.38140693,113789.62892261957,1687009.3517877138,0.2300000000000182,34169.617505633134,1698.94,419480962.24223447,107952.20628185838,1685.5846362579998
b'2024-03-03T18:31:39.211234Z',0.01,1687.2325,2400.755,3040.0525,3463.42,2244.600803285256,923.9051924969424,3463.65,3622.76,4100.76,5801.27,33333333.33,36399.37373482504,710986.6955380746,58313085.78923403,0.0009416000000000001,27.493425,109.28536297099998,991.999991230625,2813482.9817999997,5840.65362472296,54136.012648882206,477800676.6921691,0.7941946752,128.02439999999999,1790.285,7840.654631177701,86006715.38140693,113734.98612048775,1686609.586819696,0.2300000000000182,34154.77293153979,1700.005,419487590.902935,107894.3324957648,1680.999637029
